interacao,numero_grupo,derivada1,delta,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,erro
1,1,0.4760742187499556,1.7790582657350267e-7,0.071,0.023,0.082,0.065,0.008,0.046,0.098,0.004,0.053,0.094,0.8915180444717408
1,2,-3.8108587265014426,-1.4187571682235624e-6,0.071,0.020999999858124282,0.082,0.065,0.008,0.046,0.098,0.004,0.053,0.094,0.8992073059082031
1,3,-0.15623569488532052,-5.790606286377613e-8,0.071,0.020999999858124282,0.08,0.065,0.008,0.046,0.098,0.004,0.053,0.094,0.8995178699493408
1,4,-0.415802001953125,-1.540118075660261e-7,0.071,0.020999999858124282,0.08,0.063,0.008,0.046,0.098,0.004,0.053,0.094,0.9003544569015502
1,5,-0.7903575897216797,-2.9235253394243784e-7,0.071,0.020999999858124282,0.08,0.063,0.006,0.046,0.098,0.004,0.053,0.094,0.90194091796875
1,6,-0.7415294647217241,-2.738236381729015e-7,0.071,0.020999999858124282,0.08,0.063,0.006,0.044,0.098,0.004,0.053,0.094,0.9034316062927246
1,7,1.393508911132768,5.149512602438115e-7,0.071,0.020999999858124282,0.08,0.063,0.006,0.044,0.096,0.004,0.053,0.094,0.9006289482116699
1,8,-10.711288452148414,-3.917246510801231e-6,0.071,0.020999999858124282,0.08,0.063,0.006,0.044,0.096,0.001999999608275349,0.053,0.094,0.9224230527877808
1,9,-0.28150081634514823,-1.0169406708955108e-7,0.071,0.020999999858124282,0.08,0.063,0.006,0.044,0.096,0.001999999608275349,0.051,0.094,0.9229868412017822
1,10,1.5607118606567605,5.646016605952583e-7,0.071,0.020999999858124282,0.08,0.063,0.006,0.044,0.096,0.001999999608275349,0.051,0.092,0.9198577880859375
2,1,0.48029422760009766,1.7413754781294518e-7,0.06899999999999999,0.020999999858124282,0.08,0.063,0.006,0.044,0.096,0.001999999608275349,0.051,0.092,0.9188960552215576
2,2,-3.935241699218772,-1.4213993648156115e-6,0.06899999999999999,0.018999999715984345,0.08,0.063,0.006,0.044,0.096,0.001999999608275349,0.051,0.092,0.9268412828445435
2,3,-0.1569986343383789,-5.645405665991464e-8,0.06899999999999999,0.018999999715984345,0.078,0.063,0.006,0.044,0.096,0.001999999608275349,0.051,0.092,0.9271587133407593
2,4,-0.4246234893798828,-1.5259127530724374e-7,0.06899999999999999,0.018999999715984345,0.078,0.061,0.006,0.044,0.096,0.001999999608275349,0.051,0.092,0.9280087232589722
2,5,-0.805234909057595,-2.889826506706381e-7,0.06899999999999999,0.018999999715984345,0.078,0.061,0.004,0.044,0.096,0.001999999608275349,0.051,0.092,0.9296245574951172
2,6,-0.7636547088623047,-2.735962220316625e-7,0.06899999999999999,0.018999999715984345,0.078,0.061,0.004,0.041999999999999996,0.096,0.001999999608275349,0.051,0.092,0.9311614036560059
2,7,1.4194488525390847,5.089069529848474e-7,0.06899999999999999,0.018999999715984345,0.078,0.061,0.004,0.041999999999999996,0.094,0.001999999608275349,0.051,0.092,0.9283076047897338
